Band,Lower Freq (MHz),Upper Freq (MHz)
2190m,0.136,0.137
630m,0.472,0.479
560m,0.501,0.504
160m,1.800,2.000
80m,3.500,4.000
60m,5.060,5.450
40m,7.000,7.300
30m,10.100,10.150
20m,14.000,14.350
17m,18.068,18.168
15m,21.000,21.450
12m,24.890,24.990
10m,28.000,29.700
6m,50.000,54.000
4m,70.000,71.000
2m,144.000,148.000
1.25m,222.000,225.000
70cm,420.000,450.000
33cm,902.000,928.000
23cm,1240.000,1300.000
13cm,2300.000,2450.000
9cm,3300.000,3500.000
6cm,5650.000,5925.000
3cm,10000.000,10500.000
1.25cm,24000.000,24250.000
6mm,47000.000,47200.000
4mm,75500.000,81000.000
2.5mm,119980.000,120020.000
2mm,142000.000,149000.000
1mm,241000.000,250000.000
END,

