ADIF,DXCC,ITU,ADIF3
AM,AM,A3,AM
AMTORFEC,DATA,???,TOR
ARDOP,DATA,???,ARDOP
ASCI,DATA,???,RTTY
ATV,TV,???,ATV
CHIP64,DATA,???,CHIP
CHIP128,DATA,???,CHIP
CLO,???,???,CLO
CONTESTI,DATA,???,CONTESTI
CW,CW,A1A,CW
DSTAR,???,???
DOMINO,DATA,???,DOMINO
DOMINOEX,DATA,???,DOMINO
DOMINOF,DATA,???,DOMINO
FAX,???,???,FAX
FM,FM,P3E,FM
FMHELL,DATA,???,HELL
FSK31,DATA,???,PASK
FSK441,DATA,???,FSK441
FSKHELL,DATA,???,HELL
GTOR,DATA,???,TOR
HELL,DATA,???,HELL
HELL80,DATA,???,HELL
HFSK,CW,F1A
ISCAT,DATA,???,ISCAT
ISCAT-A,DATA,???,ISCAT
ISCAT-B,DATA,???,ISCAT
JT4,DATA,???,JT4
JT44,DATA,???,JT44
JT4A,DATA,???,JT4
JT4B,DATA,???,JT4
JT4C,DATA,???,JT4
JT4D,DATA,???,JT4
JT4E,DATA,???,JT4
JT4F,DATA,???,JT4
JT4G,DATA,???,JT4
JT65,DATA,???,JT65
JT65A,DATA,???,JT65
JT65B,DATA,???,JT65
JT65B2,DATA,???,JT65
JT65C,DATA,???,JT65
JT65C2,DATA,???,JT65
JT6M,DATA,???,JT6M
JT9,DATA,???,JT9
JT9-1,DATA,???,JT9
JT9-2,DATA,???,JT9
JT9-5,DATA,???,JT9
JT9-10,DATA,???,JT9
JT9-30,DATA,???,JT9
LSB,SSB,J3E,SSB
MFSK4,DATA,???,MFSK
MFSK8,DATA,???,MFSK
MFSK11,DATA,???,MFSK
MFSK16,DATA,???,MFSK
MFSK22,DATA,???,MFSK
MFSK31,DATA,???,MFSK
MFSK32,DATA,???,MFSK
MFSK64,DATA,???,MFSK
MFSK128,DATA,???,MFSK
MSK144,DATA,???,MSK144
MT63,DATA,???,MT63
OLIVIA,DATA,???,OLIVIA
OLIVIA 4/125,DATA,???,OLIVIA
OLIVIA 4/250,DATA,???,OLIVIA
OLIVIA 8/250,DATA,???,OLIVIA
OLIVIA 8/500,DATA,???,OLIVIA
OLIVIA 16/500,DATA,???,OLIVIA
OLIVIA 16/1000,DATA,???,OLIVIA
OLIVIA 32/1000,DATA,???,OLIVIA
OPERA,DATA,???,OPERA
OPERA-BEACON,DATA,???,OPERA
OPERA-QSO,DATA,???,OPERA
PAC,DATA,???,PAC
PAC2,DATA,???,PAC
PAC3,DATA,???,PAC
PAC4,DATA,???,PAC
PAX,DATA,???,PAX
PAX2,DATA,???,PAX
PCW,CW,P1A,CW
PKT,DATA,???
PSK,DATA,???,PSK
PSK2K,DATA,???,PSK
PSK10,DATA,???,PSK
PSK31,DATA,???,PSK
PSK63,DATA,???,PSK
PSK63F,DATA,???,PSK
PSK125,DATA,???,PSK
PSK250,DATA,???,PSK
PSK500,DATA,???,PSK
PSK1000,DATA,???,PSK
PSKAM10,DATA,???,PSK
PSKAM31,DATA,???,PSK
PSKAM50,DATA,???,PAK
PSKFEC31,DATA,???,PSK
PSKHELL,DATA,???,HELL
Q15,???,???,Q15
QPSK31,DATA,???,PSK
QPSK63,DATA,???,PSK
QPSK125,DATA,???,PSK
QPSK250,DATA,???,PSK
QPSK500,DATA,???,PSK
QRA64,DATA,???,QRA64
QRA64A,DATA,???,QRA64
QRA64B,DATA,???,QRA64
QRA64C,DATA,???,QRA64
QRA64D,DATA,???,QRA64
QRA64E,DATA,???,QRA64
ROS,???,???,ROS
ROS-EME,???,???,ROS
ROS-HF,???,???,ROS
ROS-MF,???,???,ROS
RTTY,RTTY,???,RTTY
RTTYM,RTTY,???,RTTYM
SIM31,DATA,???,PSK
SSB,SSB,J3E,SSB
SSTV,TV,???,SSTV
THRB,DATA,???,THRB
THOR,DATA,???,THOR
THRBX,DATA,???,THRB
TOR,???,???,TOR
USB,SSB,J3E,SSB
V4,DATA,???,V4
VOI,???,???,VOI
WINMOR,???,???,WINMOR
WSPR,DATA,???,WSPR
END
